                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.52572,                 1.3849,                0.97502,                 0.9824,                      1,                  0.995,                0.96183,                0.32771,                0.76807,                0.95875,             0.00032685,             0.00032685,             0.00032685
                     37,                0.45147,                0.82736,                0.87283,                0.95164,                      1,                  0.995,                0.96183,                0.35318,                 1.2345,                0.96449,             0.00033109,             0.00033109,             0.00033109
                     38,                0.44648,                0.87665,                0.91371,                0.95164,                      1,                  0.995,                0.96183,                0.35318,                 1.2345,                0.96449,             0.00033506,             0.00033506,             0.00033506
                     39,                0.52779,                0.84501,                0.89907,                0.94178,                      1,                  0.995,                0.92867,                0.44655,                 1.7306,                0.97867,             0.00033874,             0.00033874,             0.00033874
                     40,                0.43573,                0.60198,                0.79417,                0.94178,                      1,                  0.995,                0.92867,                0.44655,                 1.7306,                0.97867,             0.00034213,             0.00034213,             0.00034213
                     41,                0.52254,                0.67529,                0.83575,                0.96341,                      1,                  0.995,                0.93984,                0.46141,                 1.3108,                0.99792,             0.00034525,             0.00034525,             0.00034525
                     42,                0.55794,                0.79983,                0.78871,                0.96341,                      1,                  0.995,                0.93984,                0.46141,                 1.3108,                0.99792,             0.00034808,             0.00034808,             0.00034808
                     43,                0.41257,                 0.6683,                0.83169,                      1,                0.66667,                0.69443,                0.60253,                0.52148,                 2.1276,                 1.0693,             0.00035063,             0.00035063,             0.00035063
                     44,                0.39841,                0.54841,                0.83129,                      1,                0.66667,                0.69443,                0.60253,                0.52148,                 2.1276,                 1.0693,             0.00035289,             0.00035289,             0.00035289
                     45,                0.36858,                0.66083,                0.85639,                0.97796,                      1,                  0.995,                 0.9324,                0.42866,                 1.3112,                0.99814,             0.00035487,             0.00035487,             0.00035487
                     46,                0.41818,                 0.5806,                0.84186,                0.97796,                      1,                  0.995,                 0.9324,                0.42866,                 1.3112,                0.99814,             0.00035657,             0.00035657,             0.00035657
                     47,                0.45528,                0.84464,                0.81935,                0.95157,                      1,                  0.995,                0.86233,                0.48289,                 1.7427,                 1.0003,             0.00035799,             0.00035799,             0.00035799
                     48,                0.60416,                0.71673,                0.86705,                0.95157,                      1,                  0.995,                0.86233,                0.48289,                 1.7427,                 1.0003,             0.00035912,             0.00035912,             0.00035912
                     49,                0.49507,                0.70574,                0.83365,                0.70818,                      1,                  0.995,                0.86233,                 0.5241,                 2.6706,                 1.0199,             0.00035997,             0.00035997,             0.00035997
                     50,                 0.4099,                0.56611,                0.85611,                0.70818,                      1,                  0.995,                0.86233,                 0.5241,                 2.6706,                 1.0199,             0.00036054,             0.00036054,             0.00036054
                     51,                0.52715,                0.82791,                0.88069,                0.67969,                      1,                  0.995,                0.88087,                 0.4955,                 3.6749,                0.99715,             0.00036082,             0.00036082,             0.00036082
                     52,                0.51198,                 0.5593,                0.90437,                0.67969,                      1,                  0.995,                0.88087,                 0.4955,                 3.6749,                0.99715,             0.00036082,             0.00036082,             0.00036082
                     53,                0.50591,                0.65685,                0.84358,                0.67969,                      1,                  0.995,                0.88087,                 0.4955,                 3.6749,                0.99715,             0.00036054,             0.00036054,             0.00036054
                     54,                0.50677,                0.64441,                0.89455,                0.47349,                      1,                  0.995,                0.97302,                0.36664,                  5.133,                0.95775,             0.00035998,             0.00035998,             0.00035998
                     55,                0.40502,                 0.6143,                0.90061,                0.47349,                      1,                  0.995,                0.97302,                0.36664,                  5.133,                0.95775,             0.00035913,             0.00035913,             0.00035913
                     56,                0.40948,                0.51023,                0.84223,                0.47349,                      1,                  0.995,                0.97302,                0.36664,                  5.133,                0.95775,               0.000358,               0.000358,               0.000358
                     57,                0.41484,                 0.5489,                0.87141,                0.72357,                      1,                  0.995,                0.96183,                0.35583,                 3.4864,                0.95699,             0.00035659,             0.00035659,             0.00035659
                     58,                0.36072,                0.40368,                0.83971,                0.72357,                      1,                  0.995,                0.96183,                0.35583,                 3.4864,                0.95699,             0.00035489,             0.00035489,             0.00035489
                     59,                0.46243,                0.82483,                0.92646,                0.72357,                      1,                  0.995,                0.96183,                0.35583,                 3.4864,                0.95699,             0.00035291,             0.00035291,             0.00035291
